"rank","long","mid","short"
1,"NF","NF","Logic"
2,"Logic","Bryce Vine","Adam Pascal"
3,"Bryce Vine","Aminé","Aminé"
4,"Aminé","Taylor Swift","Bryce Vine"
5,"J. Cole","Logic","NF"
6,"Taylor Swift","Quinn XCII","J. Cole"
7,"Quinn XCII","Adam Pascal","Heather Headley"
8,"Post Malone","Khalid","Quinn XCII"
9,"Khalid","J. Cole","Sherie Rene Scott"
10,"blackbear","Smino","Post Malone"
11,"Adam Pascal","Kehlani","Kota the Friend"
12,"Lizzo","Heather Headley","Chance the Rapper"
13,"Smino","Amaarae","Doja Cat"
14,"Kehlani","Sherie Rene Scott","Smino"
15,"Heather Headley","Post Malone","Lizzo"
16,"Leslie Odom Jr.","Lil Nas X","Kanye West"
17,"Amaarae","Lizzo","Arizona Zervas"
18,"Sherie Rene Scott","Chance the Rapper","blackbear"
19,"Lin-Manuel Miranda","Hoodie Allen","Madison Beer"
20,"Lil Nas X","Adele","WILLOW"
21,"Phillipa Soo","Kota the Friend","tobi lou"
22,"Joyner Lucas","Megan Thee Stallion","Gracie Abrams"
23,"Hoodie Allen","blackbear","24kGoldn"
24,"Chance the Rapper","Joyner Lucas","FINNEAS"
25,"Anthony Ramos","Bing Crosby",NA
26,"Christopher Jackson","tobi lou",NA
27,"Adele","Billie Eilish",NA
28,"Tierra Whack","Andy Williams",NA
29,"KYLE","Dreamville",NA
30,"Original Broadway Cast of Hamilton","Witt Lowry",NA
31,"tobi lou","KYLE",NA
32,"Jonathan Groff","Michael Bublé",NA
33,"Kota the Friend","Dean Martin",NA
34,"khai dreams","BROCKHAMPTON",NA
35,"Megan Thee Stallion","Justin Bieber",NA
36,"Russ","H.E.R.",NA
37,"Jeremy Zucker","Ariana Grande",NA
38,"Bazzi","Cordae",NA
39,"Freddie Gibbs","Russ",NA
40,"Arizona Zervas","Doja Cat",NA
41,"Olivia Rodrigo","Perry Como",NA
42,"Machine Gun Kelly","Joey Bada$$",NA
43,"H.E.R.","Eminem",NA
44,"Renée Elise Goldsberry","Destiny's Child",NA
45,"Dreamville","VIC MENSA",NA
46,"Atwood","Tai Verdes",NA
47,"mike.","Jeremy Zucker",NA
48,"XXXTENTACION","Brenda Lee",NA
49,"WESTSIDE BOOGIE","Cardi B",NA
50,"Bing Crosby","Tierra Whack",NA
